barrio_id,barrio,anuncios,eur_m2_mediano,superficie_mediana
0-EU-ES-28-07-001-079-19-004,El Cañaveral - Los Berrocales,453,2048.54368932039,105.0
0-EU-ES-28-07-001-079-11-004,Vista Alegre,1183,2014.49275362319,74.0
0-EU-ES-28-07-001-079-12-004,Almendrales,464,2005.2083333333348,75.0
0-EU-ES-28-07-001-079-10-007,Águilas,636,1986.278195488725,75.0
0-EU-ES-28-07-001-079-17-003,Butarque,510,1986.0133020344301,90.5
0-EU-ES-28-07-001-079-19-001,Casco Histórico de Vicálvaro,213,1978.72340425532,70.0
0-EU-ES-28-07-001-079-20-004,Arcos,396,1952.272727272725,82.0
0-EU-ES-28-07-001-079-19-002,Ambroz,314,1919.117647058825,65.0
0-EU-ES-28-07-001-079-13-006,Numancia,1251,1914.28571428571,69.0
0-EU-ES-28-07-001-079-21-002,Aeropuerto,45,1900.0,56.0
0-EU-ES-28-07-001-079-12-007,Pradolongo,477,1884.61538461538,78.0
0-EU-ES-28-07-001-079-13-003,Palomeras Bajas,675,1878.0487804878,72.0
0-EU-ES-28-07-001-079-18-001,Casco Histórico de Vallecas,880,1872.5171542072949,70.0
0-EU-ES-28-07-001-079-11-006,Buena Vista,789,1865.67164179104,71.0
0-EU-ES-28-07-001-079-13-004,Palomeras sureste,921,1859.64912280702,87.0
0-EU-ES-28-07-001-079-11-007,Abrantes,743,1828.57142857143,77.0
0-EU-ES-28-07-001-079-12-006,Zofío,313,1826.08695652174,70.0
0-EU-ES-28-07-001-079-12-003,San Fermín,394,1797.4358974359,89.0
0-EU-ES-28-07-001-079-20-002,Hellín,212,1774.792348351375,61.5
0-EU-ES-28-07-001-079-11-005,Puerta Bonita,1074,1773.156089193825,74.0
0-EU-ES-28-07-001-079-13-002,San Diego,1577,1755.55555555556,65.0
0-EU-ES-28-07-001-079-13-005,Portazgo,645,1752.38095238095,73.0
0-EU-ES-28-07-001-079-20-003,Amposta,293,1714.28571428571,56.0
0-EU-ES-28-07-001-079-17-004,Los Rosales,570,1650.0,76.5
0-EU-ES-28-07-001-079-17-005,Los Ángeles,542,1640.224719101125,89.0
0-EU-ES-28-07-001-079-12-001,Orcasitas,328,1578.1064719465799,104.0
0-EU-ES-28-07-001-079-12-002,12 de Octubre-Orcasur,264,1515.0735294117649,100.0
0-EU-ES-28-07-001-079-17-001,San Andrés,1463,1500.0,75.0
0-EU-ES-28-07-001-079-13-001,Entrevías,682,1369.23076923077,84.0
0-EU-ES-28-07-001-079-17-002,San Cristóbal,307,1169.23076923077,65.0
